ticker,display_name,website,linkedin_url,founded,industry,ipo_date,location_name,location_metro,location_region,location_country,location_continent
BLKB,Blackbaud,blackbaud.com,linkedin.com/company/blackbaud,1981,computer software,2004-07,"charleston, south carolina, united states","charleston, south carolina",south carolina,united states,north america
PRGS,Progress,progress.com,linkedin.com/company/progress-software,1981,computer software,1991-07,"bedford, massachusetts, united states","boston, massachusetts",massachusetts,united states,north america
FICO,FICO,fico.com,linkedin.com/company/fico,1956,computer software,1987-07,"san jose, california, united states","san jose, california",california,united states,north america
ALTR,Altair,altair.com,linkedin.com/company/altair-engineering,1985,information technology and services,2017-11,"troy, michigan, united states","detroit, michigan",michigan,united states,north america
DBX,Dropbox,dropbox.com,linkedin.com/company/dropbox,2007,internet,2018-03,"san francisco, california, united states","san francisco, california",california,united states,north america
CNXN,Connection,connection.com,linkedin.com/company/connection-it,1982,information technology and services,1998-03,"merrimack, new hampshire, united states","manchester, new hampshire",new hampshire,united states,north america
DLR,Digital Realty,digitalrealty.com,linkedin.com/company/digitalrealty,2004,information technology and services,2004-10,"austin, texas, united states","austin, texas",texas,united states,north america
VRNT,Verint,verint.com,linkedin.com/company/verint,1994,information technology and services,2002-05,"melville, new york, united states","new york, new york",new york,united states,north america
AZPN,Aspen Technology,aspentech.com,linkedin.com/company/aspen-technology,1981,computer software,1994-10,"bedford, massachusetts, united states","boston, massachusetts",massachusetts,united states,north america
MANH,Manhattan Associates,manh.com,linkedin.com/company/manhattan-associates,1990,computer software,1998-04,"atlanta, georgia, united states","atlanta, georgia",georgia,united states,north america
PRFT,Perficient,perficient.com,linkedin.com/company/perficient,1997,information technology and services,1999-07,,,missouri,united states,north america
DT,Dynatrace,dynatrace.com,linkedin.com/company/dynatrace,2005,computer software,2019-08,"waltham, massachusetts, united states","boston, massachusetts",massachusetts,united states,north america
ACIW,ACI Worldwide,aciworldwide.com,linkedin.com/company/aci-worldwide,1975,computer software,1995-02,"coral gables, florida, united states","miami, florida",florida,united states,north america
MDRX,Allscripts,allscripts.com,linkedin.com/company/allscripts,1986,computer software,1999-07,"chicago, illinois, united states","chicago, illinois",illinois,united states,north america
PEGA,Pegasystems,pega.com,linkedin.com/company/pegasystems,1983,computer software,1996-07,"cambridge, massachusetts, united states","boston, massachusetts",massachusetts,united states,north america
TRIP,TripAdvisor,tripadvisor.com,linkedin.com/company/tripadvisor,2000,internet,2011-12,"needham, massachusetts, united states","boston, massachusetts",massachusetts,united states,north america
PSTG,Pure Storage,purestorage.com,linkedin.com/company/purestorage,2009,computer software,2015-10,"santa clara, california, united states","san jose, california",california,united states,north america
FFIV,F5 Networks,f5.com,linkedin.com/company/f5,1996,information technology and services,1999-06,"seattle, washington, united states","seattle, washington",washington,united states,north america
YELP,Yelp,yelp.com,linkedin.com/company/yelp-com,2004,internet,2012-03,"san francisco, california, united states","san francisco, california",california,united states,north america
TYL,Tyler Technologies,tylertech.com,linkedin.com/company/tyler-technologies,1966,computer software,1980-03,"plano, texas, united states","dallas, texas",texas,united states,north america
CSGS,CSG,csgi.com,linkedin.com/company/csg-,1994,computer software,1996-02,"greenwood village, colorado, united states","denver, colorado",colorado,united states,north america
ANSS,"ANSYS, Inc.",ansys.com,linkedin.com/company/ansys-inc,1970,computer software,1996-06,"canonsburg, pennsylvania, united states","pittsburgh, pennsylvania",pennsylvania,united states,north america
RXT,Rackspace Technology,rackspace.com,linkedin.com/company/rackspace-technology,1998,information technology and services,2020-08,"san antonio, texas, united states","san antonio, texas",texas,united states,north america
NTNX,Nutanix,nutanix.com,linkedin.com/company/nutanix,2009,computer software,2016-09,"san jose, california, united states","san jose, california",california,united states,north america
SNOW,Snowflake Computing,snowflake.com,linkedin.com/company/snowflake-computing,2012,computer software,2020-09,"san mateo, california, united states","san francisco, california",california,united states,north america
GDDY,GoDaddy,godaddy.com,linkedin.com/company/godaddy,1997,internet,2015-03,"tempe, arizona, united states","phoenix, arizona",arizona,united states,north america
