date,company_ticker,first_seen,person_id,age,company_founded,company_industry,company_linkedin_url,company_name,company_type,company_website,country,grad_degree_degree,grad_degree_end,grad_degree_major_1,grad_degree_school_location_country,grad_degree_school_name,grad_degree_school_website,grad_degree_start,job_duration,level,next_job_company_founded,next_job_company_industry,next_job_company_linkedin_url,next_job_company_location_country,next_job_company_location_locality,next_job_company_location_name,next_job_company_location_region,next_job_company_name,next_job_company_website,next_job_level,next_job_title,next_job_title_role,next_job_title_sub_role,role,sex,sub_role,title,undergrad_degree_degree,undergrad_degree_end,undergrad_degree_major_1,undergrad_degree_school_location_country,undergrad_degree_school_name,undergrad_degree_school_website,undergrad_degree_start,years_since_grad,years_since_undergrad
2020-05,BOX,2023-08-01,zIeRJ15vhWPfa0oCNh6kiA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,2,manager,1975,computer software,linkedin.com/company/microsoft,united states,redmond,"redmond, washington, united states",washington,microsoft,microsoft.com,manager,senior technical architect | dynamics 365 customer service workload lead | northeast enterprise isvs,customer_service,,,male,,senior consulting leader | box consulting,,,,,,,,,
2015-07,BOX,2016-12-25,rPPwN3t2NQq7GjBHxLYjVQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,senior,2009,information technology and services,linkedin.com/company/cloud-technology-partners,united states,houston,"houston, texas, united states",texas,cloud technology partners,cloudtp.com,director,enterprise sales director,sales,accounts,sales,male,accounts,senior sales executive,,,,,,,,,
2012-04,BOX,2017-12-04,vjBFzazyLbugsnuGpABNLQ_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,mexico,,,,,,,,6,,,marketing and advertising,linkedin.com/company/mi-casa,,,,,mi casa,manfrey.cl,,ama de casa,,,,female,,en el deporte,,,,,,,,,
2021-11,BOX,2024-03-11,OAzqzgLqmSZt1mAMP9mxAA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,,2017,computer software,linkedin.com/company/automationhero,united states,san francisco,"san francisco, california, united states",california,"automation hero, inc",automationhero.ai,director,account director,,,sales,male,accounts,large enterprise account executive,bachelors,2006,criminal justice,united states,rutgers university,rutgers.edu,2002,,15
2008-02,BOX,2023-07-31,ZJDfHQBSbNizUctTcGPGmg_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,1,,,,,,,,,finding red cloud,,,producer,media,,media,female,,production assistant,,,,,,,,,
2018-08,BOX,2023-12-01,t5ERjCGq7hxI6Q67Zg6QAA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,0,senior,1900,management consulting,linkedin.com/company/deloitte,united states,new york,"new york, new york, united states",new york,deloitte,deloitte.com,senior,senior cloud engineer,engineering,devops,engineering,male,devops,senior devops engineer,,,,,,,,,
2012-12,BOX,2016-12-25,tOTbcsXzfaUtMXDVoQYV2A_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,germany,,,,,,,,0,,,,,,,,,las lomas casa hotel,,,recepcionista,,,,male,,ventas,,,,,,,,,
2019-09,BOX,2020-04-23,44wurQqNKPa1Wc1eoU4Elg_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,,2007,automotive,linkedin.com/company/lucidmotors,united states,newark,"newark, california, united states",california,lucid motors,lucidmotors.com,,recruiting coordinator,human_resources,recruiting,human_resources,,recruiting,recruiting coordinator,bachelors,2018,accounting,united states,florida a&m university,famu.edu,2014,,1
2021-10,BOX,2022-11-15,wYr2F3VE0ssKI-6I2XTDLg_0000,33,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,2,,2009,computer software,linkedin.com/company/tiny-spec-inc,united states,san francisco,"san francisco, california, united states",california,slack,slack.com,senior,senior enterprise account executive,sales,accounts,sales,male,accounts,enterprise account executive,bachelors,2011,business marketing,united states,felician university,felician.edu,2007,,10
2020-08,BOX,2020-09-10,sfc3NXqdeV5ujztXRgcwog_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,4,senior,2016,internet,linkedin.com/company/dfinity,united states,palo alto,"palo alto, california, united states",california,dfinity,dfinity.org,senior,senior counsel,,,,female,,senior counsel,bachelors,2009,anthropology,united states,ucla,ucla.edu,2005,,11
